优惠类型,商品编号,首次观测,商品名称,适用性别,季节,初上市价,当前最低价,当前最高价,优惠幅度,优惠开始,优惠结束,有货,商品链接
超值精选,485611,2026-09-14,可机洗针织polo衫/短袖条纹,男装,2026年夏季,199,99,99,50.3%,2026-04-30 00:00,2026-05-07 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000071175
超值精选,487511,2026-09-14,DRY-EX速干高弹力防紫外线连帽开衫,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075898
超值精选,487511,2026-09-14,DRY-EX速干高弹力防紫外线连帽开衫,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073977
超值精选,488997,2026-09-14,宽松短裤,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073215
超值精选,490285,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075330
超值精选,490285,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,2026-06-22 08:00,2026-06-25 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073435
超值精选,475551,2026-09-14,宽松直筒牛仔裤/水洗产品,男装,2025年春季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000066993
超值精选,479323,2026-09-14,宽松直筒牛仔裤水洗产品休闲长裤加长款84cm,男装,2025年秋季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000066232
超值精选,479372,2026-09-14,弹力长裤/内里起毛休闲裤裤子常规款,男装,2025年冬季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000065838
超值精选,479373,2026-09-14,弹力长裤/内里起毛休闲裤裤子加长款,男装,2025年冬季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000066492
超值精选,482210,2026-09-14,便携式防紫外线连帽外套,男装,2026年春季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074776
超值精选,482432,2026-09-14,法国麻条纹衬衫/长袖,男装,2026年夏季,299,149,149,50.2%,2026-07-17 08:00,2026-07-23 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069773
超值精选,482432,2026-09-14,法国麻条纹衬衫/长袖,男装,2026年夏季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073746
超值精选,482437,2026-09-14,法国麻衬衫/长袖,男装,2026年夏季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075897
超值精选,482437,2026-09-14,法国麻衬衫/长袖,男装,2026年夏季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073756
超值精选,482443,2026-09-14,棉麻衬衫式茄克/长袖,男装,2026年夏季,299,149,149,50.2%,2026-06-12 00:00,2026-06-21 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069867
超值精选,482856,2026-09-14,修身直筒牛仔裤/水洗产品,男装,2026年春季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075880
超值精选,482864,2026-09-14,宽松直筒牛仔裤/水洗产品,男装,2026年春季,299,149,149,50.2%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000067373
超值精选,490283,2026-09-14,棉麻衬衫式茄克/格子长袖,男装,2026年夏季,299,149,149,50.2%,2026-06-12 00:00,2026-06-21 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000072213
超值精选,478277,2026-09-14,高性能复合连帽外套/保暖夹克含羽绒,男装,2025年冬季,799,399,399,50.1%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070253
超值精选,484330,2026-09-14,男士女士休闲鞋,男装,2026年春季,399,199,199,50.1%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075187
超值精选,481726,2026-09-14,罗纹圆领针织衫/短袖,男装,2026年夏季,149,79,79,47.0%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074356
超值精选,482302,2026-09-14,AIRism POLO衫/短袖,男装,2026年夏季,149,79,79,47.0%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000076018
超值精选,482304,2026-09-14,快干POLO衫/短袖,男装,2026年夏季,149,79,79,47.0%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074793
超值精选,482758,2026-09-14,宽松运动短裤,男装,2026年夏季,149,79,79,47.0%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073957
超值精选,483972,2026-09-14,DRY-EX速干POLO衫/短袖印花,男装,2026年夏季,149,79,79,47.0%,2026-06-12 00:00,2026-06-21 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070381
超值精选,485565,2026-09-14,快干POLO衫/短袖条纹,男装,2026年夏季,149,79,79,47.0%,2026-08-18 08:00,2026-08-27 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069645
超值精选,485565,2026-09-14,快干POLO衫/短袖条纹,男装,2026年夏季,149,79,79,47.0%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074792
超值精选,485566,2026-09-14,快干POLO衫/短袖条纹,男装,2026年夏季,149,79,79,47.0%,2026-08-18 08:00,2026-08-27 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069658
超值精选,485566,2026-09-14,快干POLO衫/短袖条纹,男装,2026年夏季,149,79,79,47.0%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073741
超值精选,485568,2026-09-14,快干POLO衫/短袖条纹,男装,2026年夏季,149,79,79,47.0%,2026-06-12 00:00,2026-06-21 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069615
超值精选,489085,2026-09-14,AS DRY-EX速干POLO衫/短袖,男装,2026年夏季,149,79,79,47.0%,2026-08-13 08:00,2026-08-20 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073436
超值精选,474426,2026-09-14,UT Pokémon印花T恤/短袖T恤宝可梦,男装,2025年夏季,99,59,59,40.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000060836
超值精选,475355,2026-09-14,AIRism宽松圆领T恤五分袖大师T短袖,男装,2025年夏季,99,59,59,40.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074316
超值精选,477814,2026-09-14,UT PEANUTS印花短袖T恤史努比,男装,2025年夏季,99,59,59,40.4%,2026-06-12 00:00,2026-06-21 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000059583
超值精选,478303,2026-09-14,HEATTECH针织帽子/毛线帽防寒保暖,男装,2025年冬季,99,59,59,40.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000065832
超值精选,480349,2026-09-14,UT Pokémon印花T恤/短袖T恤宝可梦,男装,2025年夏季,99,59,59,40.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000060837
超值精选,480350,2026-09-14,UT Pokémon印花T恤/短袖T恤宝可梦,男装,2025年夏季,99,59,59,40.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000060821
超值精选,480352,2026-09-14,UT Pokémon印花T恤/短袖T恤宝可梦,男装,2025年夏季,99,59,59,40.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000062254
超值精选,481257,2026-09-14,HEATTECH针织帽子/毛线帽防寒保暖,男装,2025年冬季,99,59,59,40.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000065833
